,Nama,Ulasan,Label,review_token,comment_normalize,stopwords_removal,stopwords_removal_final,stemming
260,Rara Pratiwi,bagus langsung menjorok ke lautan,Positif,"['bagus', 'langsung', 'menjorok', 'ke', 'lautan']","['bagus', 'langsung', 'menjorok', 'ke', 'lautan']","['bagus', 'langsung', 'menjorok', 'lautan']","['bagus', 'langsung', 'menjorok', 'lautan']","['bagus', 'langsung', 'jorok', 'laut']"
261,Muafi Muafi,hanya saja tempat nya kurang terawat,Negatif,"['hanya', 'saja', 'tempat', 'nya', 'kurang', 'terawat']","['hanya', 'saja', 'tempat', 'nya', 'kurang', 'terawat']","['nya', 'terawat']",['terawat'],['awat']
262,Mift Zaman,akan terasa lebih indah ketika menjelang matahari terbenam,Positif,"['akan', 'terasa', 'lebih', 'indah', 'ketika', 'menjelang', 'matahari', 'terbenam']","['akan', 'terasa', 'lebih', 'indah', 'ketika', 'menjelang', 'matahari', 'terbenam']","['indah', 'menjelang', 'matahari', 'terbenam']","['indah', 'menjelang', 'matahari', 'terbenam']","['indah', 'jelang', 'matahari', 'benam']"
263,Antic 12,bagus asyik banyak bebatuan yg bisa buat duduk sambil main air buat fotoan,Positif,"['bagus', 'asyik', 'banyak', 'bebatuan', 'yg', 'bisa', 'buat', 'duduk', 'sambil', 'main', 'air', 'buat', 'fotoan']","['bagus', 'asyik', 'banyak', 'bebatuan', 'yang', 'bisa', 'buat', 'duduk', 'sambil', 'main', 'air', 'buat', 'fotoan']","['bagus', 'asyik', 'bebatuan', 'duduk', 'main', 'air', 'fotoan']","['bagus', 'asyik', 'bebatuan', 'duduk', 'main', 'air', 'fotoan']","['bagus', 'asyik', 'bebatuan', 'duduk', 'main', 'air', 'foto']"
264,Hedin Hendratarto,parkir kurang menuju lokasi air terjun jalannya sangat sempit sehingga berjubel,Negatif,"['parkir', 'kurang', 'menuju', 'lokasi', 'air', 'terjun', 'jalannya', 'sangat', 'sempit', 'sehingga', 'berjubel']","['parkir', 'kurang', 'menuju', 'lokasi', 'air', 'terjun', 'jalannya', 'sangat', 'sempit', 'sehingga', 'berjubel']","['parkir', 'lokasi', 'air', 'terjun', 'jalannya', 'sempit', 'berjubel']","['parkir', 'lokasi', 'air', 'terjun', 'jalannya', 'sempit', 'berjubel']","['parkir', 'lokasi', 'air', 'terjun', 'jalan', 'sempit', 'jubel']"
265,Mahrus Zain,di keterangan gratis pas masuk dikenai tarif tiket,Negatif,"['di', 'keterangan', 'gratis', 'pas', 'masuk', 'dikenai', 'tarif', 'tiket']","['di', 'keterangan', 'gratis', 'pas', 'masuk', 'dikenai', 'tarif', 'tiket']","['keterangan', 'gratis', 'pas', 'masuk', 'dikenai', 'tarif', 'tiket']","['keterangan', 'gratis', 'masuk', 'dikenai', 'tarif', 'tiket']","['terang', 'gratis', 'masuk', 'kena', 'tarif', 'tiket']"
266,Tuan Kuda,sebaiknya wisata alam biarlah tetap alami tanpa perlu dibangun ini itu bangunan malah bikin rusak,Negatif,"['sebaiknya', 'wisata', 'alam', 'biarlah', 'tetap', 'alami', 'tanpa', 'perlu', 'dibangun', 'ini', 'itu', 'bangunan', 'malah', 'bikin', 'rusak']","['sebaiknya', 'wisata', 'alam', 'biarlah', 'tetap', 'alami', 'tanpa', 'perlu', 'dibangun', 'ini', 'itu', 'bangunan', 'malah', 'bikin', 'rusak']","['wisata', 'alam', 'biarlah', 'alami', 'dibangun', 'bangunan', 'bikin', 'rusak']","['wisata', 'alam', 'biarlah', 'alami', 'dibangun', 'bangunan', 'bikin', 'rusak']","['wisata', 'alam', 'biar', 'alami', 'bangun', 'bangun', 'bikin', 'rusak']"
267,Jumiya Oke,ya perlu dimaksimalkan pengelolaannya karena tempat ini sangat bagus sbg anugerah allah perlu disyukuri,Positif,"['ya', 'perlu', 'dimaksimalkan', 'pengelolaannya', 'karena', 'tempat', 'ini', 'sangat', 'bagus', 'sbg', 'anugerah', 'allah', 'perlu', 'disyukuri']","['ya', 'perlu', 'dimaksimalkan', 'pengelolaannya', 'karena', 'tempat', 'ini', 'sangat', 'bagus', 'sbg', 'anugerah', 'allah', 'perlu', 'disyukuri']","['ya', 'dimaksimalkan', 'pengelolaannya', 'bagus', 'sbg', 'anugerah', 'allah', 'disyukuri']","['dimaksimalkan', 'pengelolaannya', 'bagus', 'sbg', 'anugerah', 'allah', 'disyukuri']","['maksimal', 'kelola', 'bagus', 'sbg', 'anugerah', 'allah', 'syukur']"
268,Widjaya 2608,kuliner ikan bakar lesehan mantaapp dan enak bukber mantap tempatnya,Positif,"['kuliner', 'ikan', 'bakar', 'lesehan', 'mantaapp', 'dan', 'enak', 'bukber', 'mantap', 'tempatnya']","['kuliner', 'ikan', 'bakar', 'lesehan', 'mantap', 'dan', 'enak', 'bukber', 'mantap', 'tempatnya']","['kuliner', 'ikan', 'bakar', 'lesehan', 'mantap', 'enak', 'bukber', 'mantap', 'tempatnya']","['kuliner', 'ikan', 'lesehan', 'mantap', 'enak', 'bukber', 'mantap', 'tempatnya']","['kuliner', 'ikan', 'leseh', 'mantap', 'enak', 'bukber', 'mantap', 'tempat']"
269,Oonkz Froeza,air terjun yang indah yang berada di tepi laut sangat bagus untuk yang suka foto foto,Positif,"['air', 'terjun', 'yang', 'indah', 'yang', 'berada', 'di', 'tepi', 'laut', 'sangat', 'bagus', 'untuk', 'yang', 'suka', 'foto', 'foto']","['air', 'terjun', 'yang', 'indah', 'yang', 'berada', 'di', 'tepi', 'laut', 'sangat', 'bagus', 'untuk', 'yang', 'suka', 'foto', 'foto']","['air', 'terjun', 'indah', 'tepi', 'laut', 'bagus', 'suka', 'foto', 'foto']","['air', 'terjun', 'indah', 'tepi', 'laut', 'bagus', 'suka', 'foto', 'foto']","['air', 'terjun', 'indah', 'tepi', 'laut', 'bagus', 'suka', 'foto', 'foto']"
270,Alfarizy Ajha,air terjun nya bagus dan enak buat selfi pantai nya juga sangat bagus suasananya juga mendukung,Positif,"['air', 'terjun', 'nya', 'bagus', 'dan', 'enak', 'buat', 'selfi', 'pantai', 'nya', 'juga', 'sangat', 'bagus', 'suasananya', 'juga', 'mendukung']","['air', 'terjun', 'nya', 'bagus', 'dan', 'enak', 'buat', 'selfi', 'pantai', 'nya', 'juga', 'sangat', 'bagus', 'suasananya', 'juga', 'mendukung']","['air', 'terjun', 'nya', 'bagus', 'enak', 'selfi', 'pantai', 'nya', 'bagus', 'suasananya', 'mendukung']","['air', 'terjun', 'bagus', 'enak', 'selfi', 'pantai', 'bagus', 'suasananya', 'mendukung']","['air', 'terjun', 'bagus', 'enak', 'selfi', 'pantai', 'bagus', 'suasana', 'dukung']"
271,welly martinus,indah asri pemandangan laut yang menyegarkan air terjun langsung menuju ke laut luar biasa indah,Positif,"['indah', 'asri', 'pemandangan', 'laut', 'yang', 'menyegarkan', 'air', 'terjun', 'langsung', 'menuju', 'ke', 'laut', 'luar', 'biasa', 'indah']","['indah', 'asri', 'pemandangan', 'laut', 'yang', 'menyegarkan', 'air', 'terjun', 'langsung', 'menuju', 'ke', 'laut', 'luar', 'biasa', 'indah']","['indah', 'asri', 'pemandangan', 'laut', 'menyegarkan', 'air', 'terjun', 'langsung', 'laut', 'indah']","['indah', 'asri', 'pemandangan', 'laut', 'menyegarkan', 'air', 'terjun', 'langsung', 'laut', 'indah']","['indah', 'asri', 'pandang', 'laut', 'segar', 'air', 'terjun', 'langsung', 'laut', 'indah']"
272,Samsul Arifin,tempatnya bagus,Positif,"['tempatnya', 'bagus']","['tempatnya', 'bagus']","['tempatnya', 'bagus']","['tempatnya', 'bagus']","['tempat', 'bagus']"
273,Hari yadi,air terjun toroan di desa ketapang kecamatan ketapang kabupaten sampang dekat jl raya dan pantai utara sampang parkir motor dan mobil luas,Positif,"['air', 'terjun', 'toroan', 'di', 'desa', 'ketapang', 'kecamatan', 'ketapang', 'kabupaten', 'sampang', 'dekat', 'jl', 'raya', 'dan', 'pantai', 'utara', 'sampang', 'parkir', 'motor', 'dan', 'mobil', 'luas']","['air', 'terjun', 'toroan', 'di', 'desa', 'ketapang', 'kecamatan', 'ketapang', 'kabupaten', 'sampang', 'dekat', 'jl', 'raya', 'dan', 'pantai', 'utara', 'sampang', 'parkir', 'motor', 'dan', 'mobil', 'luas']","['air', 'terjun', 'toroan', 'desa', 'ketapang', 'kecamatan', 'ketapang', 'kabupaten', 'sampang', 'jl', 'raya', 'pantai', 'utara', 'sampang', 'parkir', 'motor', 'mobil', 'luas']","['air', 'terjun', 'toroan', 'desa', 'ketapang', 'kecamatan', 'ketapang', 'kabupaten', 'sampang', 'jl', 'raya', 'pantai', 'utara', 'sampang', 'parkir', 'motor', 'mobil', 'luas']","['air', 'terjun', 'toro', 'desa', 'ketapang', 'camat', 'ketapang', 'kabupaten', 'sampang', 'jl', 'raya', 'pantai', 'utara', 'sampang', 'parkir', 'motor', 'mobil', 'luas']"
274,aditya wicaksono,lumayan buat refreshing tapi naik turun tangga menuju spotnya cukup menguras tenaga haha,Positif,"['lumayan', 'buat', 'refreshing', 'tapi', 'naik', 'turun', 'tangga', 'menuju', 'spotnya', 'cukup', 'menguras', 'tenaga', 'haha']","['lumayan', 'buat', 'refreshing', 'tapi', 'naik', 'turun', 'tangga', 'menuju', 'spotnya', 'cukup', 'menguras', 'tenaga', 'haha']","['lumayan', 'refreshing', 'turun', 'tangga', 'spotnya', 'menguras', 'tenaga', 'haha']","['lumayan', 'refreshing', 'turun', 'spotnya', 'menguras', 'tenaga']","['lumayan', 'refreshing', 'turun', 'spotnya', 'uras', 'tenaga']"
275,Dicky 2ndPart,sangat memuaskan view g kalah sama bali,Positif,"['sangat', 'memuaskan', 'view', 'g', 'kalah', 'sama', 'bali']","['sangat', 'puas', 'view', 'tidak', 'kalah', 'sama', 'bali']","['puas', 'view', 'kalah', 'bali']","['puas', 'view', 'kalah', 'bali']","['puas', 'view', 'kalah', 'bal']"
276,Herida Madaya,kenangan masa sma dulu saat masih natural tak terjamah,Positif,"['kenangan', 'masa', 'sma', 'dulu', 'saat', 'masih', 'natural', 'tak', 'terjamah']","['kenangan', 'masa', 'sama', 'dulu', 'saat', 'masih', 'natural', 'tidak', 'terjamah']","['kenangan', 'natural', 'terjamah']","['kenangan', 'natural', 'terjamah']","['kenang', 'natural', 'jamah']"
277,Fausi Amiin,di sini kita menikmati keindahan alam berupa pantai dah air terjun dalam satu destinasi,Positif,"['di', 'sini', 'kita', 'menikmati', 'keindahan', 'alam', 'berupa', 'pantai', 'dah', 'air', 'terjun', 'dalam', 'satu', 'destinasi']","['di', 'sini', 'kita', 'menikmati', 'keindahan', 'alam', 'berupa', 'pantai', 'dah', 'air', 'terjun', 'dalam', 'satu', 'destinasi']","['menikmati', 'keindahan', 'alam', 'pantai', 'dah', 'air', 'terjun', 'destinasi']","['menikmati', 'keindahan', 'alam', 'pantai', 'air', 'terjun', 'destinasi']","['nikmat', 'indah', 'alam', 'pantai', 'air', 'terjun', 'destinasi']"
278,Ibnu Ibnu,suasana air terjun di pulau garam madura kecamatan ketapang kabupaten sampang jawa timur,Positif,"['suasana', 'air', 'terjun', 'di', 'pulau', 'garam', 'madura', 'kecamatan', 'ketapang', 'kabupaten', 'sampang', 'jawa', 'timur']","['suasana', 'air', 'terjun', 'di', 'pulau', 'garam', 'madura', 'kecamatan', 'ketapang', 'kabupaten', 'sampang', 'jawa', 'timur']","['suasana', 'air', 'terjun', 'pulau', 'garam', 'madura', 'kecamatan', 'ketapang', 'kabupaten', 'sampang', 'jawa', 'timur']","['suasana', 'air', 'terjun', 'pulau', 'garam', 'madura', 'kecamatan', 'ketapang', 'kabupaten', 'sampang', 'jawa', 'timur']","['suasana', 'air', 'terjun', 'pulau', 'garam', 'madura', 'camat', 'ketapang', 'kabupaten', 'sampang', 'jawa', 'timur']"
279,Hobiburrohman Arrohman,sangat senanng dan bahagia,Positif,"['sangat', 'senanng', 'dan', 'bahagia']","['sangat', 'senanng', 'dan', 'bahagia']","['senanng', 'bahagia']","['senanng', 'bahagia']","['senanng', 'bahagia']"
280,Damairi Usman,mungkin ini air terjun satunya di madura asik juga sih pemandangannya karna air terjunnya di tepi pantai,Positif,"['mungkin', 'ini', 'air', 'terjun', 'satunya', 'di', 'madura', 'asik', 'juga', 'sih', 'pemandangannya', 'karna', 'air', 'terjunnya', 'di', 'tepi', 'pantai']","['mungkin', 'ini', 'air', 'terjun', 'satunya', 'di', 'madura', 'asik', 'juga', 'sih', 'pemandangannya', 'karena', 'air', 'terjunnya', 'di', 'tepi', 'pantai']","['air', 'terjun', 'satunya', 'madura', 'asik', 'sih', 'pemandangannya', 'air', 'terjunnya', 'tepi', 'pantai']","['air', 'terjun', 'satunya', 'madura', 'asik', 'pemandangannya', 'air', 'terjunnya', 'tepi', 'pantai']","['air', 'terjun', 'satu', 'madura', 'asik', 'pandang', 'air', 'terjun', 'tepi', 'pantai']"
281,Erha Agustina,datanglah saat pagi air laut belum pasang airnya bening karang terlihat,Positif,"['datanglah', 'saat', 'pagi', 'air', 'laut', 'belum', 'pasang', 'airnya', 'bening', 'karang', 'terlihat']","['datanglah', 'saat', 'pagi', 'air', 'laut', 'belum', 'pasang', 'airnya', 'bening', 'karang', 'terlihat']","['datanglah', 'pagi', 'air', 'laut', 'pasang', 'airnya', 'bening', 'karang']","['datanglah', 'pagi', 'air', 'laut', 'pasang', 'airnya', 'bening', 'karang']","['datang', 'pagi', 'air', 'laut', 'pasang', 'air', 'bening', 'karang']"
282,Fasta Awdesy,tempat nya bagus,Positif,"['tempat', 'nya', 'bagus']","['tempat', 'nya', 'bagus']","['nya', 'bagus']",['bagus'],['bagus']
283,Idruz Vayruz,air terjun langsung ke pantai satu satunya di daerah madura dan merupakan destinasi wisata yg ckup langka,Positif,"['air', 'terjun', 'langsung', 'ke', 'pantai', 'satu', 'satunya', 'di', 'daerah', 'madura', 'dan', 'merupakan', 'destinasi', 'wisata', 'yg', 'ckup', 'langka']","['air', 'terjun', 'langsung', 'ke', 'pantai', 'satu', 'satunya', 'di', 'daerah', 'madura', 'dan', 'merupakan', 'destinasi', 'wisata', 'yang', 'ckup', 'langka']","['air', 'terjun', 'langsung', 'pantai', 'satunya', 'daerah', 'madura', 'destinasi', 'wisata', 'ckup', 'langka']","['air', 'terjun', 'langsung', 'pantai', 'satunya', 'daerah', 'madura', 'destinasi', 'wisata', 'ckup', 'langka']","['air', 'terjun', 'langsung', 'pantai', 'satu', 'daerah', 'madura', 'destinasi', 'wisata', 'ckup', 'langka']"
284,hadnys setyo,tempatnya indah masih cukup bersih tempat yg tepat utk menikmati sunset di pulau madura,Positif,"['tempatnya', 'indah', 'masih', 'cukup', 'bersih', 'tempat', 'yg', 'tepat', 'utk', 'menikmati', 'sunset', 'di', 'pulau', 'madura']","['tempatnya', 'indah', 'masih', 'cukup', 'bersih', 'tempat', 'yang', 'tepat', 'untuk', 'menikmati', 'sunset', 'di', 'pulau', 'madura']","['tempatnya', 'indah', 'bersih', 'menikmati', 'sunset', 'pulau', 'madura']","['tempatnya', 'indah', 'bersih', 'menikmati', 'sunset', 'pulau', 'madura']","['tempat', 'indah', 'bersih', 'nikmat', 'sunset', 'pulau', 'madura']"
285,Syakir Ali,kecewa dengan pemandangannya mungkin karena saya datang di siang hari mungkin akan lebih bagus pemandangannya ketika sunset atau sunraise,Positif,"['kecewa', 'dengan', 'pemandangannya', 'mungkin', 'karena', 'saya', 'datang', 'di', 'siang', 'hari', 'mungkin', 'akan', 'lebih', 'bagus', 'pemandangannya', 'ketika', 'sunset', 'atau', 'sunraise']","['kecewa', 'dengan', 'pemandangannya', 'mungkin', 'karena', 'saya', 'datang', 'di', 'siang', 'hari', 'mungkin', 'akan', 'lebih', 'bagus', 'pemandangannya', 'ketika', 'sunset', 'atau', 'sunraise']","['kecewa', 'pemandangannya', 'siang', 'bagus', 'pemandangannya', 'sunset', 'sunraise']","['kecewa', 'pemandangannya', 'siang', 'bagus', 'pemandangannya', 'sunset', 'sunraise']","['kecewa', 'pandang', 'siang', 'bagus', 'pandang', 'sunset', 'sunraise']"
286,Imam Geniuez,menurut saya cakep banget klo sore pemandangan nya sangat mendukung sekali,Positif,"['menurut', 'saya', 'cakep', 'banget', 'klo', 'sore', 'pemandangan', 'nya', 'sangat', 'mendukung', 'sekali']","['menurut', 'saya', 'cakep', 'banget', 'kalau', 'sore', 'pemandangan', 'nya', 'sangat', 'mendukung', 'sekali']","['cakep', 'banget', 'sore', 'pemandangan', 'nya', 'mendukung']","['cakep', 'banget', 'sore', 'pemandangan', 'mendukung']","['cakep', 'banget', 'sore', 'pandang', 'dukung']"
287,Ach.farhan Ramadhan,lokasi wisata yg masih perawan perlu sentuhan seniman agar kedepan lebih baik,Negatif,"['lokasi', 'wisata', 'yg', 'masih', 'perawan', 'perlu', 'sentuhan', 'seniman', 'agar', 'kedepan', 'lebih', 'baik']","['lokasi', 'wisata', 'yang', 'masih', 'perawan', 'perlu', 'sentuhan', 'seniman', 'agar', 'kedepan', 'lebih', 'baik']","['lokasi', 'wisata', 'perawan', 'sentuhan', 'seniman', 'kedepan']","['lokasi', 'wisata', 'perawan', 'sentuhan', 'seniman', 'kedepan']","['lokasi', 'wisata', 'perawan', 'sentuh', 'seniman', 'depan']"
288,Juhriyanto,sangat cocok untuk refresing,Positif,"['sangat', 'cocok', 'untuk', 'refresing']","['sangat', 'cocok', 'untuk', 'refresing']","['cocok', 'refresing']","['cocok', 'refresing']","['cocok', 'refresing']"
289,Fifi Raidatul Hasanah,kurang memuaskan pelayanan kurang parkir masih kena mahal,Negatif,"['kurang', 'memuaskan', 'pelayanan', 'kurang', 'parkir', 'masih', 'kena', 'mahal']","['kurang', 'puas', 'pelayanan', 'kurang', 'parkir', 'masih', 'kena', 'mahal']","['puas', 'pelayanan', 'parkir', 'kena', 'mahal']","['puas', 'pelayanan', 'parkir', 'kena', 'mahal']","['puas', 'layan', 'parkir', 'kena', 'mahal']"
290,ilham riskiyanto,tempat bagus kita bisa lihat air terjun yang bisa langsung ke laut keren,Positif,"['tempat', 'bagus', 'kita', 'bisa', 'lihat', 'air', 'terjun', 'yang', 'bisa', 'langsung', 'ke', 'laut', 'keren']","['tempat', 'bagus', 'kita', 'bisa', 'lihat', 'air', 'terjun', 'yang', 'bisa', 'langsung', 'ke', 'laut', 'keren']","['bagus', 'lihat', 'air', 'terjun', 'langsung', 'laut', 'keren']","['bagus', 'air', 'terjun', 'langsung', 'laut', 'keren']","['bagus', 'air', 'terjun', 'langsung', 'laut', 'keren']"
291,Amar Amhar,cantik eksotis air terjun air tawar langsung didepan ombak pantai,Positif,"['cantik', 'eksotis', 'air', 'terjun', 'air', 'tawar', 'langsung', 'didepan', 'ombak', 'pantai']","['cantik', 'eksotis', 'air', 'terjun', 'air', 'tawar', 'langsung', 'didepan', 'ombak', 'pantai']","['cantik', 'eksotis', 'air', 'terjun', 'air', 'tawar', 'langsung', 'didepan', 'ombak', 'pantai']","['cantik', 'eksotis', 'air', 'terjun', 'air', 'tawar', 'langsung', 'didepan', 'ombak', 'pantai']","['cantik', 'eksotis', 'air', 'terjun', 'air', 'tawar', 'langsung', 'depan', 'ombak', 'pantai']"
292,Dyfandio Daffa,keren air terjun langsung k laut jawa,Positif,"['keren', 'air', 'terjun', 'langsung', 'k', 'laut', 'jawa']","['keren', 'air', 'terjun', 'langsung', 'ribu', 'laut', 'jawa']","['keren', 'air', 'terjun', 'langsung', 'ribu', 'laut', 'jawa']","['keren', 'air', 'terjun', 'langsung', 'laut', 'jawa']","['keren', 'air', 'terjun', 'langsung', 'laut', 'jawa']"
293,renita agustiana,bagus tempatnya pinter ambil spot foto aja,Positif,"['bagus', 'tempatnya', 'pinter', 'ambil', 'spot', 'foto', 'aja']","['bagus', 'tempatnya', 'pinter', 'ambil', 'spot', 'foto', 'aja']","['bagus', 'tempatnya', 'pinter', 'ambil', 'spot', 'foto', 'aja']","['bagus', 'tempatnya', 'pinter', 'ambil', 'spot', 'foto']","['bagus', 'tempat', 'pinter', 'ambil', 'spot', 'foto']"
294,Just Archive,kopi rempah nya enak,Positif,"['kopi', 'rempah', 'nya', 'enak']","['kopi', 'rempah', 'nya', 'enak']","['kopi', 'rempah', 'nya', 'enak']","['kopi', 'rempah', 'enak']","['kopi', 'rempah', 'enak']"
295,Diita Gembul,salah satu icon wisata yg ada di ketapang sampang tempatnya yg nyaman untuk bersantai,Positif,"['salah', 'satu', 'icon', 'wisata', 'yg', 'ada', 'di', 'ketapang', 'sampang', 'tempatnya', 'yg', 'nyaman', 'untuk', 'bersantai']","['salah', 'satu', 'icon', 'wisata', 'yang', 'ada', 'di', 'ketapang', 'sampang', 'tempatnya', 'yang', 'nyaman', 'untuk', 'bersantai']","['salah', 'icon', 'wisata', 'ketapang', 'sampang', 'tempatnya', 'nyaman', 'bersantai']","['salah', 'icon', 'wisata', 'ketapang', 'sampang', 'tempatnya', 'nyaman', 'bersantai']","['salah', 'icon', 'wisata', 'ketapang', 'sampang', 'tempat', 'nyaman', 'santa']"
296,Rahmat Mashuri,smakin berkembang mnjadi wisata pilihan muda mudi,Positif,"['smakin', 'berkembang', 'mnjadi', 'wisata', 'pilihan', 'muda', 'mudi']","['makin', 'berkembang', 'mnjadi', 'wisata', 'pilihan', 'muda', 'mudi']","['berkembang', 'mnjadi', 'wisata', 'pilihan', 'muda', 'mudi']","['berkembang', 'mnjadi', 'wisata', 'muda', 'mudi']","['kembang', 'mnjadi', 'wisata', 'muda', 'mud']"
297,DWIKI PRAWITA,mantap,Positif,['mantap'],['mantap'],['mantap'],['mantap'],['mantap']
298,Budi Asisi,nampak beberapa nelayan dan pemancing ada tulisan dilarang mandi di air terjun,Negatif,"['nampak', 'beberapa', 'nelayan', 'dan', 'pemancing', 'ada', 'tulisan', 'dilarang', 'mandi', 'di', 'air', 'terjun']","['nampak', 'beberapa', 'nelayan', 'dan', 'pemancing', 'ada', 'tulisan', 'dilarang', 'mandi', 'di', 'air', 'terjun']","['nampak', 'nelayan', 'pemancing', 'tulisan', 'dilarang', 'mandi', 'air', 'terjun']","['nampak', 'nelayan', 'pemancing', 'tulisan', 'dilarang', 'mandi', 'air', 'terjun']","['nampak', 'nelayan', 'pancing', 'tulis', 'larang', 'mandi', 'air', 'terjun']"
299,Indra Mahendra,air terjunnya keren deket laut tinggal dijaga dengan baik,Positif,"['air', 'terjunnya', 'keren', 'deket', 'laut', 'tinggal', 'dijaga', 'dengan', 'baik']","['air', 'terjunnya', 'keren', 'deket', 'laut', 'tinggal', 'dijaga', 'dengan', 'baik']","['air', 'terjunnya', 'keren', 'deket', 'laut', 'tinggal', 'dijaga']","['air', 'terjunnya', 'keren', 'deket', 'laut', 'tinggal', 'dijaga']","['air', 'terjun', 'keren', 'deket', 'laut', 'tinggal', 'jaga']"
300,Heri Purnomo,bagus dan di tepi jalan raya sayang airnya kotor campur sampah dan cokelat,Negatif,"['bagus', 'dan', 'di', 'tepi', 'jalan', 'raya', 'sayang', 'airnya', 'kotor', 'campur', 'sampah', 'dan', 'cokelat']","['bagus', 'dan', 'di', 'tepi', 'jalan', 'raya', 'sayang', 'airnya', 'kotor', 'campur', 'sampah', 'dan', 'cokelat']","['bagus', 'tepi', 'jalan', 'raya', 'sayang', 'airnya', 'kotor', 'campur', 'sampah', 'cokelat']","['bagus', 'tepi', 'jalan', 'raya', 'sayang', 'airnya', 'kotor', 'campur', 'sampah', 'cokelat']","['bagus', 'tepi', 'jalan', 'raya', 'sayang', 'air', 'kotor', 'campur', 'sampah', 'cokelat']"
301,Jufriadi,karena tempat ini sangata unik dan menarik dari pada air terjun yang pernah saya jumpai di madura,Positif,"['karena', 'tempat', 'ini', 'sangata', 'unik', 'dan', 'menarik', 'dari', 'pada', 'air', 'terjun', 'yang', 'pernah', 'saya', 'jumpai', 'di', 'madura']","['karena', 'tempat', 'ini', 'sangata', 'unik', 'dan', 'menarik', 'dari', 'pada', 'air', 'terjun', 'yang', 'pernah', 'saya', 'jumpai', 'di', 'madura']","['sangata', 'unik', 'menarik', 'air', 'terjun', 'jumpai', 'madura']","['sangata', 'unik', 'menarik', 'air', 'terjun', 'jumpai', 'madura']","['sangata', 'unik', 'tarik', 'air', 'terjun', 'jumpa', 'madura']"
302,Alfiyah Nada Trianah,air terjun yang langsung mengalir ke lautan dipadu dengan sunset yang indah luar biasa,Positif,"['air', 'terjun', 'yang', 'langsung', 'mengalir', 'ke', 'lautan', 'dipadu', 'dengan', 'sunset', 'yang', 'indah', 'luar', 'biasa']","['air', 'terjun', 'yang', 'langsung', 'mengalir', 'ke', 'lautan', 'dipadu', 'dengan', 'sunset', 'yang', 'indah', 'luar', 'biasa']","['air', 'terjun', 'langsung', 'mengalir', 'lautan', 'dipadu', 'sunset', 'indah']","['air', 'terjun', 'langsung', 'mengalir', 'lautan', 'dipadu', 'sunset', 'indah']","['air', 'terjun', 'langsung', 'alir', 'laut', 'padu', 'sunset', 'indah']"
303,Afandy Achmad,keindahan air terjun yang mengalirr so beautyfull,Positif,"['keindahan', 'air', 'terjun', 'yang', 'mengalirr', 'so', 'beautyfull']","['keindahan', 'air', 'terjun', 'yang', 'mengalirr', 'jadi', 'beautyfull']","['keindahan', 'air', 'terjun', 'mengalirr', 'beautyfull']","['keindahan', 'air', 'terjun', 'mengalirr', 'beautyfull']","['indah', 'air', 'terjun', 'mengalirr', 'beautyfull']"
304,Heru Winarno,ada cafe nya yg bisa menikmati semilir angin laut,Positif,"['ada', 'cafe', 'nya', 'yg', 'bisa', 'menikmati', 'semilir', 'angin', 'laut']","['ada', 'cafe', 'nya', 'yang', 'bisa', 'menikmati', 'semilir', 'angin', 'laut']","['cafe', 'nya', 'menikmati', 'semilir', 'angin', 'laut']","['cafe', 'menikmati', 'semilir', 'angin', 'laut']","['cafe', 'nikmat', 'milir', 'angin', 'laut']"
305,anggie crazyangel77,alhandulillah ke sana pas september walaupun musim kemarau tapi airnya jernih dan kondisi bersih,Positif,"['alhandulillah', 'ke', 'sana', 'pas', 'september', 'walaupun', 'musim', 'kemarau', 'tapi', 'airnya', 'jernih', 'dan', 'kondisi', 'bersih']","['alhandulillah', 'ke', 'sana', 'pas', 'september', 'walaupun', 'musim', 'kemarau', 'tapi', 'airnya', 'jernih', 'dan', 'kondisi', 'bersih']","['alhandulillah', 'pas', 'september', 'musim', 'kemarau', 'airnya', 'jernih', 'kondisi', 'bersih']","['alhandulillah', 'september', 'musim', 'kemarau', 'airnya', 'jernih', 'kondisi', 'bersih']","['alhandulillah', 'september', 'musim', 'kemarau', 'air', 'jernih', 'kondisi', 'bersih']"
306,Susmiari S. Pd,air terjun menuju laut cipratan jatuhnya air sejuk,Positif,"['air', 'terjun', 'menuju', 'laut', 'cipratan', 'jatuhnya', 'air', 'sejuk']","['air', 'terjun', 'menuju', 'laut', 'cipratan', 'jatuhnya', 'air', 'sejuk']","['air', 'terjun', 'laut', 'cipratan', 'jatuhnya', 'air', 'sejuk']","['air', 'terjun', 'laut', 'cipratan', 'jatuhnya', 'air', 'sejuk']","['air', 'terjun', 'laut', 'ciprat', 'jatuh', 'air', 'sejuk']"
307,Yusron Surya Pranata,air terjun toroan berada di ketapang sampang madura bagus banget pemandangan nya,Positif,"['air', 'terjun', 'toroan', 'berada', 'di', 'ketapang', 'sampang', 'madura', 'bagus', 'banget', 'pemandangan', 'nya']","['air', 'terjun', 'toroan', 'berada', 'di', 'ketapang', 'sampang', 'madura', 'bagus', 'banget', 'pemandangan', 'nya']","['air', 'terjun', 'toroan', 'ketapang', 'sampang', 'madura', 'bagus', 'banget', 'pemandangan', 'nya']","['air', 'terjun', 'toroan', 'ketapang', 'sampang', 'madura', 'bagus', 'banget', 'pemandangan']","['air', 'terjun', 'toro', 'ketapang', 'sampang', 'madura', 'bagus', 'banget', 'pandang']"
